customer_id,customer_region,customer_age,vendor_count,product_count,is_chain,first_order,last_order,last_promo,payment_method,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HR_0,HR_1,HR_2,HR_3,HR_4,HR_5,HR_6,HR_7,HR_8,HR_9,HR_10,HR_11,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_18,HR_19,HR_20,HR_21,HR_22,HR_23,late_night,early_morning,morning,midday,afternoon_evening,night,weekday,weekend,total_spending,total_orders,used_promo,broader_region,order_frequency,order_span,avg_product_cost,avg_order_cost,products_per_vendor,cui_diversity_score,prefered_cuisine,dow_diversity_score,hr_diversity_score
d5cbe9cd02,2360,31.0,7,26,12,0.0,25,DELIVERY,CARD,0.0,0.0,27.09,2.23,0.0,58.94,0.0,5.63,0.0,0.0,0.0,0.0,3.04,0.0,0.0,5,0,3,2,0,3,3,0.0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,1,2,1,1,1,2,0,0,0,0.0,1,4,4,5,2,10,6,96.92999999999999,16,1,2,1.5625,25.0,3.7280769230769226,6.0581249999999995,3.7142857142857144,5,CUI_Chinese,5,11
9c5d8d6747,2360,27.0,5,32,23,0.0,28,FREEBIE,CASH,0.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,107.83,0.0,0.0,0.0,0.0,3,3,3,4,0,3,7,0.0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,10,4,1,0,0,0,0.0,0,6,1,15,1,13,10,130.8,23,1,2,1.2173913043478262,28.0,4.0875,5.686956521739131,6.4,3,CUI_Japanese,6,7
4d43db4f0a,2360,34.0,5,28,20,0.0,42,NO PROMO,CARD,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,0.0,0.0,0.0,0.0,15.24,2,1,1,0,3,5,9,0.0,0,0,0,0,0,0,0,0,0,1,2,4,7,2,0,0,3,1,1,0,0,0,0,0.0,0,7,9,5,0,7,14,109.57000000000001,21,0,2,2.0,42.0,3.913214285714286,5.217619047619048,5.6,3,CUI_American,6,8
7b0661a6ba,2360,30.0,1,19,14,0.0,43,FREEBIE,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.86,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,0,1,2,1,0.0,0,0,0,0,0,0,0,4,3,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0.0,4,6,3,0,1,11,3,50.86,14,1,2,3.0714285714285716,43.0,2.676842105263158,3.632857142857143,19.0,1,CUI_Indian,6,7
d6e5be6382,4660,36.0,8,25,6,0.0,49,NO PROMO,DIGI,83.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,0.0,0.0,6.44,0.0,0.0,3,6,2,1,0,4,5,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,3,2,5,1,1,2,0,0.0,0,2,5,10,4,12,9,104.42,21,0,4,2.3333333333333335,49.0,4.1768,4.972380952380952,3.125,3,CUI_American,6,10
928baa4e96,4660,23.0,12,23,10,0.0,54,NO PROMO,CARD,71.53,17.51,0.0,0.0,0.0,0.0,0.0,0.0,40.16,21.27,9.67,0.0,0.0,0.0,5.54,5,0,2,0,1,2,4,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,4,2,1,0,0,1,0.0,0,1,5,6,2,8,6,165.67999999999998,14,0,4,3.857142857142857,54.0,7.203478260869565,11.834285714285713,1.9166666666666667,6,CUI_American,5,8
01ad9867f2,8670,29.0,14,32,16,0.0,58,NO PROMO,CARD,11.73,287.09,0.0,0.0,0.0,0.0,0.0,50.31,0.0,0.0,0.0,0.0,0.0,12.08,0.0,3,4,1,2,2,3,5,0.0,0,2,5,2,1,0,1,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,9.0,2,6,3,0,0,12,8,361.21,20,0,8,2.9,58.0,11.2878125,18.060499999999998,2.2857142857142856,4,CUI_Asian,7,10
63953d4795,8670,27.0,20,29,15,0.0,59,FREEBIE,CASH,5.64,99.88,64.46,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,29.66,0.0,9,4,4,2,2,1,4,0.0,0,0,0,2,1,2,0,2,1,2,3,1,3,1,3,4,0,0,0,1,0,0,0,2.0,5,7,7,4,1,21,5,223.54,26,1,8,2.269230769230769,59.0,7.708275862068965,8.597692307692308,1.45,5,CUI_Asian,7,13
768c58de1d,8670,35.0,9,23,8,0.0,64,DELIVERY,CARD,0.0,122.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,30.61,0.0,6,4,1,3,2,3,2,0.0,0,0,0,0,0,0,0,6,5,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0.0,6,14,1,0,0,16,5,171.08999999999997,21,1,8,3.0476190476190474,64.0,7.438695652173912,8.147142857142857,2.5555555555555554,3,CUI_Asian,7,5
8c0b4a3e60,2360,18.0,5,21,16,0.0,69,NO PROMO,CARD,0.0,0.0,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.35,20.97,0.0,0.0,4,1,1,1,2,3,4,0.0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,3,3,2,0,0,0,0,0.0,0,4,3,9,0,9,7,60.36,16,0,2,4.3125,69.0,2.874285714285714,3.7725,4.2,3,CUI_Noodle Dishes,7,9
dccc922d45,2440,17.0,8,26,13,0.0,69,DELIVERY,CARD,4.4,48.18,0.0,0.0,13.99,2.11,0.0,0.0,11.58,0.0,10.12,0.0,0.0,0.0,0.0,3,3,2,2,2,2,3,0.0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0,1,0,2,1,1,0,0,0.0,0,5,7,3,2,12,5,90.38,17,1,2,4.0588235294117645,69.0,3.476153846153846,5.316470588235294,3.25,6,CUI_Asian,7,9
eb4664b1ac,2490,39.0,5,31,25,0.0,69,NO PROMO,CARD,0.0,0.0,53.24,2.56,0.0,1.01,0.0,0.0,0.0,0.0,0.0,12.37,0.0,0.0,18.75,0,1,1,3,3,10,7,3.0,4,0,0,0,0,0,0,0,1,2,5,1,1,2,0,0,1,1,1,1,0,0,2,7.0,0,9,3,3,3,8,17,87.93,25,0,2,2.76,69.0,2.8364516129032262,3.5172000000000003,6.2,5,CUI_Beverages,6,13
d352d84f22,2360,31.0,8,23,13,0.0,70,NO PROMO,DIGI,8.57,0.0,1.36,0.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,0.0,81.85,0.0,0.0,1,2,0,4,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,2,4,1,2,0,0,0,0.0,0,4,1,8,2,8,7,101.83,15,0,2,4.666666666666667,70.0,4.427391304347826,6.788666666666667,2.875,4,CUI_OTHER,6,8
db250450d8,4660,39.0,4,23,0,0.0,70,DELIVERY,DIGI,0.0,156.58,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,2,0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,3,0,0,0,0,0.0,0,0,2,13,0,5,10,217.81,15,1,4,4.666666666666667,70.0,9.47,14.520666666666667,5.75,2,CUI_Asian,3,5
249ba584d3,4660,34.0,4,95,8,0.0,71,NO PROMO,CARD,0.0,896.71,0.0,9.08,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,8,9,9,8,10,4,6,0.0,0,0,0,0,0,0,1,0,0,0,3,13,11,6,7,10,3,0,0,0,0,0,0,0.0,1,16,24,13,0,44,10,907.8600000000001,54,0,4,1.3148148148148149,71.0,9.556421052631581,16.812222222222225,23.75,3,CUI_Asian,7,8
36269ce6f1,4660,20.0,4,32,7,0.0,71,NO PROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.94,0.0,0.0,49.21,0.0,0.0,10,3,4,4,4,0,5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,12,8,2,0,0,0,0,0.0,0,1,2,27,0,25,5,190.15,30,0,4,2.3666666666666667,71.0,5.9421875,6.338333333333334,8.0,2,CUI_Italian,6,6
81da90cbf0,2360,23.0,9,24,7,0.0,71,DELIVERY,CARD,3.82,0.0,0.0,0.0,0.0,0.0,4.62,4.52,0.0,0.0,3.56,0.0,72.61,0.0,12.15,2,2,2,0,4,1,4,0.0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,2,3,1,2,0,0,0,0,0.0,0,5,2,8,0,10,5,101.28,15,1,2,4.733333333333333,71.0,4.22,6.752,2.6666666666666665,6,CUI_OTHER,6,9
d7123e7c60,8670,23.0,16,25,6,0.0,71,NO PROMO,CARD,0.0,148.79,12.42,0.0,0.0,42.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45,0.0,5,2,1,5,1,2,2,0.0,0,0,0,0,0,1,1,1,1,6,2,2,1,2,0,0,0,0,0,0,0,0,1,0.0,3,11,3,0,1,14,4,240.21999999999997,18,0,8,3.9444444444444446,71.0,9.608799999999999,13.345555555555555,1.5625,4,CUI_Asian,7,10
4c7572fe30,2360,28.0,8,21,17,0.0,72,DELIVERY,CARD,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,0.0,0.0,0.0,1.67,24.44,0.0,1,2,2,2,3,1,6,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,2,4,1,2,0,1.0,0,1,3,5,7,10,7,57.230000000000004,17,1,2,4.235294117647059,72.0,2.7252380952380952,3.3664705882352943,2.625,4,CUI_Street Food / Snacks,7,10
6749fb2f06,4140,25.0,1,15,11,0.0,72,NO PROMO,DIGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83,0.0,0.0,0.0,0.0,0.0,0,4,1,0,3,0,3,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0.0,1,0,7,3,0,8,3,74.83,11,0,4,6.545454545454546,72.0,4.988666666666666,6.802727272727273,15.0,1,CUI_Italian,4,5
0c1807a567,2360,25.0,4,29,4,0.0,75,NO PROMO,CARD,1.66,0.0,0.0,0.0,1.83,0.0,0.0,0.0,116.52,0.0,0.0,0.0,0.0,8.9,0.0,4,4,1,2,4,7,3,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,9,1,0,0,0,0.0,0,2,1,21,1,15,10,128.91,25,0,2,3.0,75.0,4.445172413793103,5.1564,7.25,4,CUI_Indian,7,6
1420df2a55,8670,23.0,8,24,6,0.0,75,NO PROMO,CASH,6.07,24.41,12.7,0.0,0.0,0.0,138.81,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,2,3,1,3,2,0,3,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,5,2,1,1,0,0,0,0,0,1.0,1,1,7,4,0,11,3,280.7,14,0,8,5.357142857142857,75.0,11.695833333333333,20.05,3.0,5,CUI_Desserts,6,8
61327c3c6c,4660,39.0,16,64,27,0.0,75,NO PROMO,CARD,13.01,104.96,0.0,197.09,0.0,0.0,0.0,0.0,11.4,44.13,51.21,0.0,41.83,0.0,0.0,10,6,7,2,7,4,6,0.0,0,0,0,0,0,2,6,2,2,4,1,1,3,0,1,2,7,3,7,1,0,0,0,0.0,10,8,4,19,1,32,10,463.62999999999994,42,0,4,1.7857142857142858,75.0,7.244218749999999,11.038809523809523,4.0,7,CUI_Cafe,7,14
69be7769aa,2360,28.0,13,27,12,0.0,75,NO PROMO,DIGI,13.14,22.26,34.78,7.99,18.37,1.47,0.0,0.0,0.0,0.0,0.0,0.85,4.78,0.0,0.0,1,3,3,3,5,1,3,0.0,0,0,0,0,0,0,0,0,0,6,2,3,1,1,1,1,0,1,0,3,0,0,0,0.0,0,11,3,2,3,15,4,103.64,19,0,2,3.9473684210526314,75.0,3.8385185185185184,5.454736842105263,2.076923076923077,8,CUI_Beverages,7,9
0f4619dcf4,4660,43.0,14,37,8,0.0,76,NO PROMO,CASH,6.27,23.34,0.0,141.06,0.0,21.53,0.0,0.0,0.0,71.5,45.37,0.0,15.46,0.0,8.53,2,3,3,3,1,1,7,0.0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,1,3,2,3,1,0,0,0,0,0.0,0,9,2,9,0,12,8,333.06,20,0,4,3.8,76.0,9.001621621621622,16.653,2.642857142857143,8,CUI_Cafe,7,10
4f565aedcf,8670,21.0,11,24,8,0.0,76,NO PROMO,CARD,17.31,100.42,55.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,1,2,3,3,3,5,4,0.0,0,5,7,1,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13.0,1,7,0,0,0,12,9,185.85999999999999,21,0,8,3.619047619047619,76.0,7.744166666666666,8.85047619047619,2.1818181818181817,4,CUI_Asian,7,7
98349dd8d7,2360,25.0,16,49,30,0.0,76,NO PROMO,DIGI,1.77,0.0,1.08,0.0,0.0,132.76,0.0,0.0,0.0,11.76,3.04,4.1,24.45,0.0,0.0,1,4,2,3,7,9,6,0.0,0,0,0,0,0,0,0,0,0,2,4,2,2,1,0,0,10,11,0,0,0,0,0,0.0,0,8,3,21,0,17,15,178.95999999999995,32,0,2,2.375,76.0,3.6522448979591826,5.5924999999999985,3.0625,7,CUI_Chinese,7,7
dcdb4c5c5a,2360,23.0,8,22,4,0.0,76,NO PROMO,CARD,3.32,0.0,10.2,0.0,0.0,74.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,1,0,3,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,1,2,1,1,0,0,0,1,0,0.0,0,6,7,4,1,12,6,87.6,18,0,2,4.222222222222222,76.0,3.9818181818181815,4.866666666666666,2.75,3,CUI_Chinese,6,9
26fa80f66e,2360,25.0,24,41,32,0.0,77,NO PROMO,CARD,10.78,32.38,0.0,0.0,28.75,0.0,0.0,0.0,11.13,1.08,22.38,0.0,27.03,0.0,1.19,7,4,2,2,8,4,5,0.0,0,0,0,0,0,0,0,0,0,3,12,1,2,0,2,0,4,4,2,2,0,0,0,0.0,0,16,4,10,2,23,9,134.71999999999997,32,0,2,2.40625,77.0,3.2858536585365847,4.209999999999999,1.7083333333333333,8,CUI_Asian,7,9
730b8daaff,2360,33.0,18,51,24,0.0,77,NO PROMO,CARD,0.0,30.84,5.88,0.0,11.7,58.57,0.0,0.0,0.0,3.06,0.0,12.17,80.95,0.0,1.44,3,6,3,2,8,6,8,0.0,0,0,0,0,0,0,0,3,3,11,2,0,0,0,3,1,3,5,2,1,0,1,1,0.0,3,16,3,11,3,22,14,204.61,36,0,2,2.138888888888889,77.0,4.011960784313726,5.683611111111111,2.8333333333333335,8,CUI_OTHER,7,12
76588ad5d8,4660,31.0,6,22,14,0.0,77,NO PROMO,CASH,2.41,14.68,0.0,0.0,0.0,0.0,0.0,18.96,0.0,119.23,0.0,0.0,17.37,0.0,7.0,0,1,0,3,7,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1,2,0,0,0,0,0.0,0,0,3,12,0,11,4,179.65,15,0,4,5.133333333333334,77.0,8.165909090909091,11.976666666666667,3.6666666666666665,6,CUI_Italian,5,5
7c7b622b92,2360,28.0,10,28,15,0.0,77,NO PROMO,CARD,0.0,67.63,0.0,0.0,4.29,0.0,0.0,0.0,0.0,7.54,0.0,0.0,11.21,0.0,8.62,1,1,4,1,2,8,5,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,2,2,2,1,1,5,2,2.0,1,0,1,9,9,9,13,99.29000000000002,22,0,2,3.5,77.0,3.5460714285714294,4.5131818181818195,2.8,5,CUI_Asian,7,12
a27e27988b,2360,19.0,11,34,18,0.0,77,NO PROMO,CARD,4.37,0.0,0.0,0.0,25.78,0.0,3.53,0.0,0.0,0.0,0.0,1.35,52.75,0.0,40.75,4,1,1,2,1,7,5,0.0,0,0,0,0,0,0,1,3,0,0,8,0,1,0,4,2,1,0,1,0,0,0,0,0.0,4,8,5,4,0,9,12,128.53,21,0,2,3.6666666666666665,77.0,3.780294117647059,6.12047619047619,3.090909090909091,6,CUI_OTHER,7,8
1b178d7662,2360,22.0,17,39,26,0.0,78,FREEBIE,CARD,15.81,6.38,0.0,0.0,10.21,41.62,3.79,0.0,0.0,0.0,7.18,0.0,19.85,11.15,4.7,4,1,1,2,3,13,8,0.0,0,0,0,0,0,0,0,3,4,3,5,1,3,0,0,2,5,4,0,2,0,0,0,0.0,3,13,3,11,2,11,21,120.69000000000001,32,1,2,2.4375,78.0,3.094615384615385,3.7715625000000004,2.2941176470588234,9,CUI_Chinese,7,10
93e152bcb8,2490,23.0,10,31,14,0.0,78,NO PROMO,CARD,4.24,0.0,19.27,3.27,3.42,0.0,0.0,0.0,0.0,0.0,41.57,0.0,5.05,0.0,0.0,7,5,0,3,4,6,3,0.0,0,0,0,0,0,0,1,0,1,1,11,5,2,1,0,1,0,3,2,0,0,0,0,0.0,1,18,3,6,0,19,9,76.82,28,0,2,2.7857142857142856,78.0,2.4780645161290322,2.7435714285714283,3.1,6,CUI_Japanese,6,10
b4e7eb8705,8670,35.0,15,27,10,0.0,78,NO PROMO,CARD,32.09,80.06,41.05,0.0,0.0,12.19,12.01,0.0,0.0,0.0,6.36,0.0,0.0,72.25,0.0,6,3,2,1,5,1,2,0.0,0,0,0,1,2,2,0,1,3,2,3,3,1,1,1,0,0,0,0,0,0,0,0,1.0,5,11,3,0,0,17,3,256.01,20,0,8,3.9,78.0,9.481851851851852,12.8005,1.8,7,CUI_Asian,7,11
eb8ffc45bd,2360,20.0,10,23,14,0.0,78,NO PROMO,CARD,0.0,4.14,0.0,10.71,0.0,23.37,0.0,0.0,0.0,10.77,0.0,30.75,6.25,0.0,0.0,1,1,4,2,1,2,4,0.0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0.0,3,0,1,11,0,9,6,85.99,15,0,2,5.2,78.0,3.738695652173913,5.732666666666666,2.3,6,CUI_Noodle Dishes,7,5
f3654f56ca,2360,17.0,13,21,16,0.0,78,NO PROMO,CARD,5.51,0.0,7.38,0.0,2.63,17.59,0.0,19.77,0.0,0.0,7.31,0.0,14.95,0.0,0.0,1,2,5,1,4,0,3,0.0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,3,2,3,0,0,0,0.0,0,7,1,5,3,13,3,75.14,16,0,2,4.875,78.0,3.578095238095238,4.69625,1.6153846153846154,7,CUI_Healthy,6,7
0df875b8cf,4140,21.0,2,27,0,0.0,79,NO PROMO,CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.63,9.8,0.0,0.0,0.0,0.0,4,3,3,2,2,3,4,0.0,0,0,0,0,0,0,0,0,0,2,1,3,1,2,1,0,1,2,6,1,1,0,0,0.0,0,6,4,9,2,14,7,157.43,21,0,4,3.761904761904762,79.0,5.830740740740741,7.496666666666667,13.5,2,CUI_Italian,7,11
